Date,시가,고가,저가,종가,거래량,변동률
2022-12-01,"26,250원","28,150원","26,200원","26,500원","8,803,813건",5.79%
2022-12-02,"26,700원","27,450원","26,150원","26,250원","3,444,549건",-0.94%
2022-12-05,"26,550원","27,950원","26,500원","27,400원","6,193,979건",4.38%
2022-12-06,"26,950원","28,100원","26,600원","27,650원","4,010,849건",0.91%
2022-12-07,"27,350원","27,550원","26,600원","26,800원","2,459,232건",-3.07%
2022-12-08,"26,950원","27,650원","26,700원","27,450원","2,774,536건",2.43%
2022-12-09,"27,800원","28,150원","27,400원","28,100원","3,539,550건",2.37%
2022-12-12,"28,000원","28,650원","27,400원","28,000원","2,818,746건",-0.36%
2022-12-13,"28,500원","29,050원","28,250원","29,000원","4,514,967건",3.57%
2022-12-14,"29,500원","29,500원","28,400원","28,700원","3,122,812건",-1.03%
2022-12-15,"28,300원","28,500원","25,800원","26,050원","5,868,570건",-9.23%
2022-12-16,"25,250원","26,700원","25,100원","26,000원","3,220,011건",-0.19%
2022-12-19,"25,600원","26,650원","25,550원","25,900원","1,859,512건",-0.38%
2022-12-20,"25,800원","26,350원","25,600원","25,900원","1,732,074건",0.00%
2022-12-21,"26,250원","26,400원","25,600원","26,300원","1,395,898건",1.54%
2022-12-22,"26,700원","26,800원","26,200원","26,350원","131,020,654건",0.19%
2022-12-23,"26,000원","26,200원","25,050원","25,100원","2,382,779건",-4.74%
2022-12-26,"25,300원","25,400원","24,650원","25,100원","1,510,762건",0.00%
2022-12-27,"25,100원","25,850원","25,100원","25,800원","1,518,799건",2.79%
2022-12-28,"25,500원","25,650원","24,900원","25,050원","1,716,525건",-2.91%
2022-12-29,"24,850원","25,400원","23,950원","24,300원","1,906,638건",-2.99%
2023-01-02,"24,450원","24,600원","24,000원","24,150원","971,436건",-0.62%
2023-01-03,"23,950원","24,350원","23,150원","24,100원","1,989,456건",-0.21%
2023-01-04,"23,850원","25,400원","23,750원","25,400원","1,904,935건",5.39%
2023-01-05,"25,850원","27,400원","25,800원","27,300원","4,962,544건",7.48%
2023-01-06,"27,100원","27,500원","26,250원","27,200원","2,002,445건",-0.37%
2023-01-09,"28,050원","28,750원","27,950원","28,500원","3,225,903건",4.78%
2023-01-10,"28,450원","28,750원","28,050원","28,350원","1,828,228건",-0.53%
2023-01-11,"28,700원","28,800원","27,500원","27,800원","2,315,273건",-1.94%
2023-01-12,"28,100원","28,300원","27,150원","27,600원","1,995,420건",-0.72%
2023-01-13,"28,000원","28,850원","27,850원","28,150원","3,448,219건",1.99%
2023-01-16,"28,350원","29,700원","28,050원","29,450원","4,304,796건",4.62%
2023-01-17,"29,650원","29,700원","28,400원","28,450원","2,376,726건",-3.40%
2023-01-18,"28,350원","28,400원","27,500원","27,550원","1,690,052건",-3.16%
2023-01-19,"27,050원","27,450원","26,850원","27,200원","1,803,219건",-1.27%
2023-01-20,"27,250원","27,950원","27,200원","27,800원","1,294,811건",2.21%
2023-01-25,"28,300원","28,600원","28,050원","28,150원","1,428,727건",1.26%
2023-01-26,"28,300원","28,650원","27,800원","28,550원","1,323,662건",1.42%
2023-01-27,"28,800원","29,100원","28,500원","28,900원","1,824,468건",1.23%
2023-01-30,"29,050원","29,400원","27,850원","27,850원","1,764,449건",-3.63%
2023-01-31,"27,850원","28,350원","27,050원","27,100원","1,755,874건",-2.69%
2023-02-01,"27,500원","27,850원","27,400원","27,750원","951,018건",2.40%
2023-02-02,"28,350원","28,550원","28,050원","28,100원","1,381,642건",1.26%
2023-02-03,"28,250원","28,950원","28,200원","28,850원","2,148,959건",2.67%
2023-02-06,"28,850원","28,850원","28,050원","28,200원","1,166,927건",-2.25%
2023-02-07,"28,250원","28,750원","28,050원","28,700원","1,312,232건",1.77%
2023-02-08,"29,450원","30,150원","28,200원","28,200원","4,043,086건",-1.74%
2023-02-09,"28,400원","28,400원","27,050원","27,400원","4,069,345건",-2.84%
2023-02-10,"27,250원","27,250원","26,550원","26,650원","2,730,921건",-2.74%
2023-02-13,"26,600원","26,600원","25,850원","25,900원","1,965,789건",-2.81%
2023-02-14,"26,300원","26,600원","26,100원","26,100원","1,342,928건",0.77%
2023-02-15,"26,100원","26,250원","24,200원","24,600원","4,523,964건",-5.75%
2023-02-16,"24,950원","25,800원","24,850원","25,500원","2,397,713건",3.66%
2023-02-17,"24,950원","25,700원","24,100원","25,300원","1,926,428건",-0.78%
2023-02-20,"25,300원","26,350원","24,900원","26,200원","1,865,030건",3.56%
2023-02-21,"26,250원","26,350원","25,700원","25,850원","1,113,724건",-1.34%
2023-02-22,"25,250원","25,700원","25,200원","25,500원","1,204,244건",-1.35%
2023-02-23,"25,550원","25,800원","25,400원","25,550원","1,090,063건",0.20%
2023-02-24,"25,450원","25,650원","25,050원","25,250원","1,281,843건",-1.17%
2023-02-27,"25,050원","25,450원","24,900원","25,450원","826,499건",0.79%
2023-02-28,"25,350원","26,800원","25,350원","26,650원","3,175,120건",4.72%
2023-03-02,"26,450원","26,600원","26,050원","26,050원","1,363,282건",-2.25%
2023-03-03,"26,200원","26,500원","25,800원","26,300원","987,135건",0.96%
2023-03-06,"26,500원","26,800원","26,200원","26,600원","1,783,482건",1.14%
2023-03-07,"26,700원","26,700원","26,000원","26,200원","999,182건",-1.50%
2023-03-08,"25,700원","25,700원","25,000원","25,000원","2,020,022건",-4.58%
2023-03-09,"25,150원","25,200원","24,650원","24,700원","1,873,659건",-1.20%
2023-03-10,"24,050원","24,200원","23,500원","23,950원","2,601,759건",-3.04%
2023-03-13,"23,700원","24,650원","23,500원","24,400원","2,459,187건",1.88%
2023-03-14,"24,050원","24,700원","24,000원","24,300원","1,609,331건",-0.41%
2023-03-15,"24,800원","25,100원","24,350원","24,350원","1,265,438건",0.21%
2023-03-16,"24,100원","24,150원","23,600원","24,150원","1,308,474건",-0.82%
2023-03-17,"24,400원","24,900원","24,300원","24,700원","1,334,199건",2.28%
2023-03-20,"24,600원","24,950원","24,400원","24,800원","763,901건",0.40%
2023-03-21,"24,950원","25,000원","24,350원","24,500원","751,555건",-1.21%
2023-03-22,"24,900원","25,000원","24,550원","25,000원","808,060건",2.04%
2023-03-23,"24,750원","25,450원","24,450원","25,200원","1,223,199건",0.80%
2023-03-24,"24,800원","25,150원","24,650원","24,800원","837,199건",-1.59%
2023-03-27,"24,800원","24,800원","23,500원","23,950원","1,826,186건",-3.43%
2023-03-28,"24,200원","24,650원","24,100원","24,650원","1,411,520건",2.92%
2023-03-29,"24,650원","24,700원","24,000원","24,100원","1,147,386건",-2.23%
2023-03-30,"24,250원","24,250원","23,850원","23,950원","1,074,138건",-0.62%
2023-03-31,"24,050원","24,250원","23,850원","24,150원","1,032,187건",0.84%
2023-04-03,"24,150원","24,450원","23,900원","24,000원","1,174,184건",-0.62%
2023-04-04,"24,100원","24,250원","23,850원","24,200원","967,757건",0.83%
2023-04-05,"24,150원","24,350원","24,050원","24,250원","662,542건",0.21%
2023-04-06,"24,100원","24,150원","23,300원","23,300원","1,757,879건",-3.92%
2023-04-07,"23,400원","23,800원","23,100원","23,600원","981,812건",1.29%
2023-04-10,"23,500원","23,550원","22,900원","22,950원","1,848,861건",-2.75%
2023-04-11,"22,950원","22,950원","22,300원","22,350원","2,059,931건",-2.61%
2023-04-12,"22,400원","22,550원","22,050원","22,100원","1,788,024건",-1.12%
2023-04-13,"22,100원","22,450원","22,000원","22,450원","1,597,077건",1.58%
2023-04-14,"22,600원","24,200원","22,600원","23,750원","3,559,327건",5.79%
2023-04-17,"23,600원","23,900원","23,250원","23,800원","1,431,260건",0.21%
2023-04-18,"23,850원","24,000원","23,500원","23,750원","1,147,004건",-0.21%
2023-04-19,"23,750원","23,850원","23,350원","23,400원","772,764건",-1.47%
2023-04-20,"23,250원","23,600원","23,100원","23,400원","753,462건",0.00%
2023-04-21,"23,150원","23,550원","23,000원","23,250원","751,113건",-0.64%
2023-04-24,"23,200원","23,200원","22,750원","22,900원","624,039건",-1.51%
2023-04-25,"22,850원","23,000원","22,250원","22,400원","908,765건",-2.18%
2023-04-26,"22,100원","22,600원","22,050원","22,200원","788,978건",-0.89%
2023-04-27,"22,100원","22,200원","21,600원","22,050원","1,173,282건",-0.68%
2023-04-28,"22,200원","22,500원","21,950원","22,000원","1,043,073건",-0.23%
2023-05-02,"22,000원","22,600원","22,000원","22,550원","676,863건",2.50%
2023-05-03,"23,650원","25,150원","23,600원","24,100원","8,238,190건",6.87%
2023-05-04,"24,000원","24,100원","22,800원","23,550원","3,084,116건",-2.28%
2023-05-08,"23,850원","24,850원","23,800원","24,400원","2,582,338건",3.61%
2023-05-09,"24,300원","24,850원","24,150원","24,750원","1,285,537건",1.43%
2023-05-10,"24,750원","25,150원","24,250원","25,000원","1,940,432건",1.01%
2023-05-11,"25,150원","25,350원","24,800원","25,000원","1,351,610건",0.00%
2023-05-12,"25,050원","25,150원","24,300원","24,450원","1,039,130건",-2.20%
2023-05-15,"24,300원","24,900원","24,100원","24,650원","839,407건",0.82%
2023-05-16,"24,450원","25,400원","24,450원","25,150원","1,527,116건",2.03%
2023-05-17,"25,000원","25,350원","24,700원","24,850원","740,521건",-1.19%
2023-05-18,"25,000원","25,300원","24,600원","24,950원","747,529건",0.40%
2023-05-19,"25,000원","25,250원","24,750원","25,200원","1,042,558건",1.00%
2023-05-22,"25,300원","25,950원","25,300원","25,800원","1,448,807건",2.38%
2023-05-23,"25,700원","26,300원","25,650원","26,200원","1,297,230건",1.55%
2023-05-24,"26,000원","26,150원","25,250원","25,450원","1,123,431건",-2.86%
2023-05-25,"25,200원","25,550원","25,050원","25,300원","703,093건",-0.59%
2023-05-26,"25,150원","25,400원","24,700원","25,000원","837,619건",-1.19%
2023-05-30,"25,500원","25,950원","24,800원","25,950원","1,383,900건",3.80%
2023-05-31,"25,850원","26,600원","25,800원","26,200원","3,434,951건",0.96%
2023-06-01,"26,150원","26,450원","26,000원","26,250원","1,007,379건",0.19%
2023-06-02,"26,400원","26,600원","26,200원","26,550원","1,194,424건",1.14%
2023-06-05,"26,800원","27,200원","26,700원","26,950원","1,562,561건",1.51%
2023-06-07,"26,950원","27,200원","26,700원","26,900원","923,542건",-0.19%
2023-06-08,"26,850원","26,850원","25,700원","26,000원","1,597,929건",-3.35%
2023-06-09,"26,100원","26,300원","25,700원","25,850원","1,074,264건",-0.58%
2023-06-12,"25,950원","27,000원","25,900원","26,900원","1,811,666건",4.06%
2023-06-13,"26,850원","26,900원","26,450원","26,600원","955,094건",-1.12%
2023-06-14,"26,600원","26,600원","26,000원","26,200원","800,120건",-1.50%
2023-06-15,"26,100원","26,450원","25,350원","25,400원","1,145,512건",-3.05%
2023-06-16,"25,700원","26,200원","25,500원","25,850원","3,013,691건",1.77%
2023-06-19,"25,850원","26,000원","24,950원","25,150원","1,112,228건",-2.71%
2023-06-20,"25,150원","25,300원","24,900원","24,950원","691,185건",-0.80%
2023-06-21,"24,900원","25,300원","24,300원","24,500원","1,204,996건",-1.80%
2023-06-22,"24,300원","24,700원","24,200원","24,450원","578,333건",-0.20%
2023-06-23,"24,300원","24,300원","23,500원","23,650원","1,195,624건",-3.27%
2023-06-26,"23,550원","24,100원","23,500원","23,850원","515,380건",0.85%
2023-06-27,"23,800원","24,200원","23,700원","24,150원","702,479건",1.26%
2023-06-28,"24,300원","24,350원","23,950원","24,150원","470,167건",0.00%
2023-06-29,"24,050원","24,250원","23,700원","23,750원","491,742건",-1.66%
2023-06-30,"24,000원","24,000원","23,500원","23,750원","477,461건",0.00%
2023-07-03,"23,850원","24,650원","23,850원","24,500원","846,281건",3.16%
2023-07-04,"24,400원","24,450원","23,700원","23,750원","846,382건",-3.06%
2023-07-05,"23,750원","24,000원","23,150원","23,250원","802,032건",-2.11%
2023-07-06,"23,100원","23,650원","22,600원","23,050원","1,215,918건",-0.86%
2023-07-07,"23,000원","23,050원","22,500원","22,850원","1,037,389건",-0.87%
2023-07-10,"22,700원","23,300원","22,500원","23,150원","965,777건",1.31%
2023-07-11,"23,350원","24,100원","23,300원","24,050원","1,136,518건",3.89%
2023-07-12,"24,100원","24,600원","23,850원","24,550원","984,651건",2.08%
2023-07-13,"24,800원","25,650원","24,600원","25,300원","1,756,316건",3.05%
2023-07-14,"25,550원","26,000원","25,450원","25,700원","1,320,095건",1.58%
2023-07-17,"25,300원","26,050원","25,150원","25,950원","1,082,613건",0.97%
2023-07-18,"26,000원","26,050원","25,500원","25,600원","614,541건",-1.35%
2023-07-19,"25,900원","26,100원","25,250원","25,500원","598,623건",-0.39%
2023-07-20,"25,200원","26,000원","25,200원","25,450원","592,545건",-0.20%
2023-07-21,"25,200원","25,700원","25,150원","25,700원","573,631건",0.98%
2023-07-24,"25,650원","25,650원","24,600원","24,800원","1,031,344건",-3.50%
2023-07-25,"24,650원","24,800원","23,900원","24,050원","1,235,123건",-3.02%
2023-07-26,"23,900원","24,300원","23,250원","24,100원","1,561,184건",0.21%
2023-07-27,"23,900원","25,700원","23,900원","25,700원","1,664,239건",6.64%
2023-07-28,"25,650원","25,950원","25,250원","25,300원","828,272건",-1.56%
2023-07-31,"25,400원","26,150원","25,150원","26,000원","1,006,257건",2.77%
2023-08-01,"26,000원","29,650원","25,950원","29,650원","11,636,331건",14.04%
2023-08-02,"30,150원","30,500원","27,750원","28,100원","6,048,523건",-5.23%
2023-08-03,"27,900원","29,100원","27,850원","28,350원","3,990,762건",0.89%
2023-08-04,"28,250원","28,950원","27,950원","28,700원","1,858,396건",1.23%
2023-08-07,"28,500원","29,200원","28,450원","28,750원","1,826,564건",0.17%
2023-08-08,"28,950원","29,550원","28,100원","28,300원","1,806,953건",-1.57%
2023-08-09,"27,900원","28,500원","27,750원","28,050원","1,017,248건",-0.88%
2023-08-10,"27,700원","27,800원","27,300원","27,750원","1,125,838건",-1.07%
2023-08-11,"27,650원","28,050원","27,550원","27,600원","1,061,949건",-0.54%
2023-08-14,"27,450원","27,900원","27,000원","27,100원","757,808건",-1.81%
2023-08-16,"26,700원","27,050원","26,400원","26,600원","1,024,907건",-1.85%
2023-08-17,"26,350원","26,600원","25,750원","25,850원","983,124건",-2.82%
2023-08-18,"25,600원","25,850원","25,250원","25,600원","836,549건",-0.97%
2023-08-21,"25,850원","26,100원","25,500원","25,650원","631,578건",0.20%
2023-08-22,"25,750원","25,950원","25,500원","25,550원","523,016건",-0.39%
2023-08-23,"25,200원","25,750원","25,050원","25,600원","604,605건",0.20%
2023-08-24,"25,750원","25,900원","24,850원","25,000원","1,274,064건",-2.34%
2023-08-25,"24,550원","24,750원","24,300원","24,450원","801,046건",-2.20%
2023-08-28,"24,450원","24,750원","24,400원","24,600원","602,819건",0.61%
2023-08-29,"24,600원","24,950원","24,600원","24,750원","427,407건",0.61%
2023-08-30,"25,050원","25,900원","25,050원","25,850원","1,125,488건",4.44%
2023-08-31,"25,900원","26,350원","25,500원","26,350원","1,192,751건",1.93%
2023-09-01,"26,050원","26,200원","25,600원","25,600원","666,436건",-2.85%
2023-09-04,"25,500원","26,300원","25,450원","25,850원","719,937건",0.98%
2023-09-05,"25,600원","25,950원","25,300원","25,700원","528,494건",-0.58%
2023-09-06,"25,550원","25,850원","25,450원","25,750원","401,670건",0.19%
2023-09-07,"25,400원","25,550원","24,950원","25,100원","941,644건",-2.52%
2023-09-08,"24,900원","25,450원","24,850원","24,950원","665,751건",-0.60%
2023-09-11,"24,950원","25,050원","24,500원","24,700원","686,369건",-1.00%
2023-09-12,"24,850원","25,150원","24,500원","24,650원","632,627건",-0.20%
2023-09-13,"24,600원","24,900원","24,450원","24,750원","585,767건",0.41%
2023-09-14,"24,950원","25,050원","24,500원","25,050원","812,471건",1.21%
2023-09-15,"24,950원","26,750원","24,950원","26,050원","2,046,510건",3.99%
2023-09-18,"26,000원","26,000원","25,000원","25,050원","1,275,182건",-3.84%
2023-09-19,"25,050원","25,450원","24,750원","25,050원","833,876건",0.00%
2023-09-20,"24,850원","25,200원","24,850원","25,100원","537,935건",0.20%
2023-09-21,"24,900원","24,950원","24,000원","24,000원","1,264,170건",-4.38%
2023-09-22,"23,700원","23,900원","23,500원","23,750원","589,282건",-1.04%
2023-09-25,"23,800원","23,900원","23,500원","23,750원","535,194건",0.00%
2023-09-26,"23,600원","23,900원","22,750원","22,800원","988,887건",-4.00%
2023-09-27,"22,850원","23,500원","22,850원","23,350원","605,097건",2.41%
2023-10-04,"22,950원","23,050원","22,500원","22,600원","774,453건",-3.21%
2023-10-05,"22,850원","23,100원","22,550원","22,700원","521,482건",0.44%
2023-10-06,"22,600원","23,350원","22,600원","23,200원","384,621건",2.20%
2023-10-10,"23,900원","24,050원","23,200원","23,400원","693,911건",0.86%
2023-10-11,"23,500원","24,050원","23,450원","23,850원","643,071건",1.92%
2023-10-12,"24,200원","24,250원","23,600원","24,150원","624,601건",1.26%
2023-10-13,"23,800원","23,800원","23,200원","23,250원","511,833건",-3.73%
2023-10-16,"23,100원","23,350원","22,900원","23,150원","490,214건",-0.43%
2023-10-17,"23,500원","23,600원","22,950원","22,950원","380,051건",-0.86%
2023-10-18,"22,900원","23,300원","22,900원","22,900원","318,222건",-0.22%
2023-10-19,"22,650원","23,100원","22,450원","22,950원","612,973건",0.22%
2023-10-20,"22,600원","22,650원","21,200원","21,800원","1,375,693건",-5.01%
2023-10-23,"21,200원","21,600원","20,850원","20,950원","1,354,076건",-3.90%
2023-10-24,"21,000원","21,250원","20,050원","20,950원","1,479,091건",0.00%
2023-10-25,"21,000원","21,350원","20,350원","20,450원","1,106,423건",-2.39%
2023-10-26,"19,950원","20,250원","19,510원","19,510원","1,323,705건",-4.60%
2023-10-27,"19,500원","19,690원","18,110원","18,780원","2,686,366건",-3.74%
2023-10-30,"18,550원","18,840원","18,200원","18,460원","1,630,760건",-1.70%
2023-10-31,"18,580원","18,820원","17,970원","18,160원","1,452,739건",-1.63%
2023-11-01,"18,160원","18,900원","18,100원","18,760원","1,372,606건",3.30%
2023-11-02,"19,020원","20,750원","19,020원","20,300원","2,313,634건",8.21%
2023-11-03,"20,700원","21,500원","20,350원","21,100원","1,252,204건",3.94%
2023-11-06,"22,450원","24,750원","22,250원","24,600원","4,255,042건",16.59%
2023-11-07,"24,300원","24,300원","22,750원","22,850원","1,962,792건",-7.11%
2023-11-08,"23,800원","24,200원","22,800원","23,000원","2,033,535건",0.66%
2023-11-09,"22,650원","24,500원","22,600원","24,050원","2,654,666건",4.57%
2023-11-10,"23,600원","23,750원","22,950원","22,950원","969,618건",-4.57%
2023-11-13,"23,350원","23,500원","23,050원","23,250원","652,602건",1.31%
2023-11-14,"23,450원","23,800원","23,100원","23,450원","776,621건",0.86%
2023-11-15,"23,950원","24,400원","23,650원","24,350원","1,397,420건",3.84%
2023-11-16,"24,100원","24,350원","23,750원","24,350원","545,498건",0.00%
2023-11-17,"24,200원","24,450원","23,350원","23,700원","581,807건",-2.67%
2023-11-20,"23,650원","24,100원","23,300원","23,900원","588,247건",0.84%
2023-11-21,"24,100원","26,750원","24,050원","26,000원","6,552,880건",8.79%
2023-11-22,"25,750원","26,400원","25,300원","26,000원","1,599,398건",0.00%
2023-11-23,"26,050원","26,200원","25,350원","26,000원","1,195,898건",0.00%
2023-11-24,"25,800원","26,100원","25,300원","25,550원","648,757건",-1.73%
2023-11-27,"25,350원","25,650원","25,100원","25,250원","577,231건",-1.17%
2023-11-28,"25,400원","26,300원","25,100원","26,300원","1,257,268건",4.16%
2023-11-29,"26,300원","26,350원","25,850원","26,000원","723,505건",-1.14%
2023-11-30,"26,000원","26,200원","25,600원","26,200원","776,201건",0.77%
2023-12-01,"26,100원","26,150원","25,450원","25,450원","641,374건",-2.86%
2023-12-04,"25,650원","25,900원","25,350원","25,400원","548,069건",-0.20%
2023-12-05,"25,300원","25,500원","25,000원","25,250원","620,061건",-0.59%
2023-12-06,"25,450원","26,000원","25,350원","25,750원","866,884건",1.98%
2023-12-07,"25,450원","26,000원","25,400원","25,850원","543,357건",0.39%
2023-12-08,"26,100원","26,400원","25,850원","26,000원","795,584건",0.58%
2023-12-11,"26,150원","26,250원","25,650원","26,250원","775,736건",0.96%
2023-12-12,"26,300원","26,500원","26,000원","26,100원","886,538건",-0.57%
2023-12-13,"26,150원","26,300원","25,750원","25,950원","650,370건",-0.57%
2023-12-14,"26,500원","27,150원","26,300원","26,850원","2,481,490건",3.47%
2023-12-15,"26,950원","27,100원","26,700원","27,100원","1,158,616건",0.93%
2023-12-18,"27,150원","27,200원","26,150원","26,900원","957,925건",-0.74%
2023-12-19,"26,650원","26,750원","26,200원","26,250원","681,985건",-2.42%
2023-12-20,"26,600원","27,450원","26,500원","27,400원","1,223,701건",4.38%
2023-12-21,"26,900원","27,500원","26,800원","27,500원","576,079건",0.36%
2023-12-22,"27,650원","28,100원","27,200원","27,200원","625,013건",-1.09%
2023-12-26,"27,450원","27,850원","27,200원","27,450원","634,265건",0.92%
2023-12-27,"27,850원","27,850원","27,300원","27,700원","578,358건",0.91%
2023-12-28,"27,850원","28,500원","27,550원","28,500원","1,148,062건",2.89%
2024-01-02,"28,150원","28,350원","27,250원","28,000원","907,014건",-1.75%
2024-01-03,"27,550원","27,750원","27,100원","27,200원","830,611건",-2.86%
2024-01-04,"26,800원","27,050원","26,200원","26,200원","763,853건",-3.68%
2024-01-05,"26,250원","26,550원","25,750원","25,900원","559,464건",-1.15%
2024-01-08,"25,950원","26,300원","25,850원","25,950원","467,742건",0.19%
2024-01-09,"26,400원","26,850원","26,350원","26,500원","614,003건",2.12%
2024-01-10,"26,600원","27,350원","26,450원","27,050원","774,088건",2.08%
2024-01-11,"27,300원","30,800원","27,050원","29,700원","12,102,465건",9.80%
2024-01-12,"29,700원","30,050원","28,000원","29,400원","2,887,044건",-1.01%
2024-01-15,"29,400원","31,500원","28,450원","31,450원","5,505,469건",6.97%
2024-01-16,"30,900원","31,250원","29,750원","30,450원","2,682,974건",-3.18%
2024-01-17,"30,400원","30,450원","28,600원","29,000원","2,083,180건",-4.76%
2024-01-18,"29,000원","29,000원","28,300원","28,500원","1,134,294건",-1.72%
2024-01-19,"29,000원","29,300원","28,400원","28,400원","941,277건",-0.35%
2024-01-22,"28,700원","29,000원","27,800원","27,850원","953,313건",-1.94%
2024-01-23,"28,200원","29,550원","28,200원","29,300원","1,763,046건",5.21%
2024-01-24,"29,400원","29,650원","28,800원","29,200원","766,479건",-0.34%
2024-01-25,"29,000원","29,500원","28,400원","29,250원","864,630건",0.17%
2024-01-26,"29,050원","29,850원","28,950원","29,100원","862,657건",-0.51%
2024-01-29,"29,250원","29,250원","27,600원","27,650원","1,388,508건",-4.98%
2024-01-30,"27,950원","28,100원","27,400원","27,600원","792,684건",-0.18%
2024-01-31,"27,350원","27,550원","26,850원","27,300원","558,770건",-1.09%
2024-02-01,"26,800원","27,250원","26,500원","26,850원","1,088,283건",-1.65%
2024-02-02,"27,250원","29,600원","27,150원","29,300원","2,664,997건",9.12%
2024-02-05,"29,050원","29,050원","27,300원","27,500원","1,604,228건",-6.14%
2024-02-06,"27,500원","27,750원","26,950원","27,300원","811,187건",-0.73%
2024-02-07,"28,000원","31,050원","27,950원","28,400원","6,674,910건",4.03%
2024-02-08,"28,400원","29,750원","28,250원","29,100원","2,480,031건",2.46%
2024-02-13,"29,450원","30,000원","29,450원","29,700원","1,450,726건",2.06%
2024-02-14,"29,000원","30,100원","28,650원","29,800원","1,138,724건",0.34%
2024-02-15,"30,350원","31,200원","29,800원","29,800원","2,148,690건",0.00%
2024-02-16,"30,250원","30,500원","29,750원","30,100원","845,770건",1.01%
2024-02-19,"30,300원","30,600원","29,850원","30,000원","973,489건",-0.33%
2024-02-20,"30,000원","30,550원","29,450원","29,450원","1,039,807건",-1.83%
2024-02-21,"29,700원","30,100원","29,350원","29,600원","608,800건",0.51%
2024-02-22,"29,850원","30,200원","29,500원","29,650원","738,712건",0.17%
2024-02-23,"29,600원","30,350원","29,400원","30,100원","943,380건",1.52%
2024-02-26,"30,400원","30,450원","29,850원","30,150원","686,199건",0.17%
2024-02-27,"30,350원","30,650원","29,450원","29,550원","705,231건",-1.99%
2024-02-28,"29,700원","29,900원","28,450원","28,650원","912,643건",-3.05%
2024-02-29,"28,400원","28,850원","28,100원","28,450원","928,091건",-0.70%
2024-03-04,"28,450원","29,150원","28,200원","28,400원","789,277건",-0.18%
2024-03-05,"28,150원","28,600원","27,500원","27,550원","1,025,607건",-2.99%
2024-03-06,"27,300원","28,150원","27,300원","27,650원","562,052건",0.36%
2024-03-07,"27,900원","28,700원","27,850원","28,700원","802,632건",3.80%
2024-03-08,"29,100원","29,500원","28,500원","28,750원","706,479건",0.17%
2024-03-11,"28,600원","29,100원","28,350원","28,900원","394,337건",0.52%
2024-03-12,"29,150원","29,350원","28,650원","28,900원","484,305건",0.00%
2024-03-13,"29,150원","29,300원","28,750원","29,100원","576,957건",0.69%
2024-03-14,"29,200원","29,600원","28,950원","29,250원","1,307,093건",0.52%
2024-03-15,"29,200원","29,200원","28,250원","28,400원","996,329건",-2.91%
2024-03-18,"28,500원","28,550원","27,750원","27,950원","802,723건",-1.58%
2024-03-19,"27,650원","28,100원","27,300원","27,850원","806,241건",-0.36%
2024-03-20,"28,150원","28,800원","27,900원","27,900원","863,166건",0.18%
2024-03-21,"28,350원","28,500원","28,000원","28,250원","749,636건",1.25%
2024-03-22,"28,000원","28,500원","27,950원","28,100원","432,870건",-0.53%
2024-03-25,"28,100원","28,200원","27,650원","27,800원","560,631건",-1.07%
2024-03-26,"28,150원","29,200원","27,900원","28,850원","1,083,811건",3.78%
2024-03-27,"28,450원","28,950원","28,050원","28,200원","666,492건",-2.25%
2024-03-28,"28,400원","28,450원","27,950원","28,100원","581,963건",-0.35%
2024-03-29,"28,150원","28,150원","27,500원","27,550원","690,017건",-1.96%
2024-04-01,"27,850원","27,850원","27,300원","27,400원","530,096건",-0.54%
